id,err,cp
1330,0.125,0
1331,0.125,0
1332,3,0
1333,2.208,0
1334,4.292,0
1335,8.375,0
1336,2.25,0
1337,4.792,0
1338,5.833,0
1339,0.042,0
1340,9.937,0
1341,9.292,0
1342,3.417,0
1343,2.833,0
1344,3.583,0
1345,0.875,0
1346,1,0
1347,1.333,0
1348,40.6522,1
1349,41.4114,0
1350,1.841,0
1351,3.417,0
1352,1,0
1353,2.583,0
1354,1.625,0
1355,47.9658,1
1356,49.0114,0
1357,53.1522,0
1358,56.1522,0
1359,54.093,0
1360,3.125,0
1361,0.5,0
1362,0.417,0
1363,42.903,1
1364,43.43,0
1365,2.5,0
1366,1.895,0
1367,0.208,0
1368,0.188,0
1369,1.042,0
1370,0.375,0
1371,0.792,0
1372,0.792,0
1373,3.458,0
1374,0.417,0
1375,1.292,0
1376,3.292,0
1377,1.583,0
1378,3.625,0
1379,2.792,0
1380,1.895,0
1381,1,0
1382,1.542,0
1383,0.292,0
1384,1,0
1385,1.667,0
1386,0.542,0
1387,40.3158,1
1388,41.5112,0
1389,2.875,0
1390,3,0
1391,4.458,0
1392,4.625,0
1393,5.458,0
1394,4.333,0
1395,3.083,0
1396,0.75,0
1397,1.792,0
1398,1.875,0
1399,1.042,0
1400,2.25,0
1401,1.125,0
1402,1.708,0
1403,0.917,0
1404,2.208,0
1405,0.292,0
1406,6.583,0
1407,9.542,0
1408,7.667,0
1409,9.083,0
1410,5.167,0
1411,2.25,0
1412,0.625,0
1413,2.167,0
1414,0.354,0
1415,0.375,0
1416,0.083,0
1417,0.833,0
1418,0.25,0
1419,0.208,0
1420,0.042,0
1421,0.042,0
1422,2.375,0
1423,0.417,0
1424,2.375,0
1425,3.958,0
1426,3.083,0
1427,5.333,0
1428,4.542,0
1429,6.667,0
1430,4.458,0
1431,8.25,0
1432,8.375,0
1433,8.833,0
1434,9.667,0
1435,5.625,0
1436,8.333,0
1437,8.958,0
1438,8.917,0
1439,6.042,0
1440,8.25,0
1441,8.625,0
1442,4.75,0
1443,3.458,0
1444,5.167,0
1445,3.708,0
1446,2.792,0
1447,2.125,0
1448,0.667,0
1449,67.6138,1
1450,61.3434,0
1451,2.333,0
1452,6.458,0
1453,4,0
1454,4.875,0
1455,6.667,0
1456,11.583,0
1457,16.583,0
1458,44.3022,1
1459,30.6158,0
1460,36.948,0
1461,40.9158,0
1462,10.208,0
1463,7.458,0
1464,5.687,0
1465,3.354,0
1466,2.042,0
1467,64.7842,1
1468,67.8362,0
1469,7.042,0
1470,6.375,0
1471,6.958,0
1472,5.75,0
1473,5.125,0
1474,7.937,0
1475,55.75,1
1476,57.2089,0
1477,58.5774,0
1478,58.4637,0
