id,err,cp
537,4.863,0
538,4.359,0
539,4.863,0
540,5.094,0
541,4.884,0
542,4.695,0
543,4.485,0
544,4.674,0
545,5.682,0
546,4.254,0
547,6.75,0
548,3.894,0
549,7.107,0
550,12.777,0
551,12.987,0
552,6.771,0
553,12.504,0
554,12.525,0
555,11.916,0
556,12.21,0
557,7.569,0
558,12.756,0
559,0.369,0
560,1.734,0
561,5.241,0
562,7.53,0
563,8.79,0
564,4.653,0
565,4.335,0
566,3.393,0
567,5.073,0
568,9.378,0
569,7.95,0
570,0.933,0
571,7.446,0
572,1.02,0
573,5.028,0
574,6.603,0
575,11.055,0
576,21.786,0
577,21.324,0
578,25.146,0
579,23.97,0
580,80.7825,1
581,143.0925,0
582,139.9875,0
583,135.7275,0
584,131.415,0
585,99.2775,0
586,49.29,0
587,25.5525,0
588,7.8,0
589,12.021,0
590,11.685,0
591,19.581,0
592,79.455,1
593,139.065,0
594,137.88,0
595,87.975,0
596,13.659,0
597,25.377,0
598,25.419,0
599,25.587,0
600,25.482,0
601,13.638,0
602,12.126,0
603,11.748,0
604,59.9175,1
605,122.04,0
606,117.54,0
607,114.4575,0
608,92.2125,0
609,5.766,0
610,16.833,0
611,8.178,0
612,22.017,0
613,22.185,0
614,22.584,0
615,22.647,0
616,22.647,0
617,13.848,0
618,22.563,0
619,23.424,0
620,24.684,0
621,17.292,0
622,11.16,0
623,11.832,0
624,11.58,0
625,11.517,0
626,11.412,0
627,11.769,0
628,11.706,0
629,11.013,0
630,11.517,0
631,11.412,0
632,12.063,0
633,12.042,0
634,12,0
635,11.874,0
636,12.252,0
637,12.966,0
638,12.672,0
639,12.588,0
640,8.913,0
641,8.787,0
642,8.808,0
643,8.892,0
644,4.083,0
645,4.272,0
646,7.695,0
647,5.07,0
648,8.157,0
649,9.165,0
650,9.312,0
651,9.501,0
652,9.396,0
653,9.312,0
654,8.892,0
655,9.165,0
656,12.147,0
657,11.874,0
658,11.895,0
659,10.782,0
660,8.409,0
661,16.536,0
662,8.871,0
663,8.892,0
664,0.306,0
665,5.829,0
666,5.787,0
667,5.451,0
668,5.262,0
669,5.199,0
670,4.485,0
671,1.521,0
672,8.955,0
673,8.955,0
674,12.504,0
675,12.336,0
676,11.769,0
677,56.2275,1
678,132.435,0
679,131.8875,0
680,76.4775,0
681,9.2025,0
682,19.203,0
683,21.387,0
684,24.201,0
685,21.387,0
686,15.675,0
687,26.049,0
688,16.389,0
689,71.415,1
690,135.5925,0
691,134.145,0
692,60.405,0
693,12.504,0
694,20.19,0
695,25.125,0
696,24.474,0
697,24.411,0
698,24.432,0
699,24.747,0
700,15.633,0
701,76.3725,1
702,133.8825,0
703,131.745,0
704,118.11,0
705,25.005,0
706,14.31,0
707,25.986,0
708,26.322,0
709,26.658,0
710,25.419,0
711,26.469,0
712,14.142,0
713,14.163,0
714,14.604,0
715,14.478,0
716,11.727,0
717,10.089,0
718,10.026,0
719,2.424,0
720,4.233,0
721,4.275,0
722,3.729,0
723,3.414,0
724,3.033,0
725,42.18,1
726,119.9925,0
727,122.1,0
728,81.4725,0
729,10.95,0
730,13.071,0
731,13.995,0
732,23.466,0
733,27.372,0
734,28.191,0
735,27.141,0
736,21.576,0
737,84.2925,1
738,139.1475,0
739,136.5675,0
740,65.37,0
741,10.782,0
742,12.882,0
743,13.05,0
744,12.63,0
745,17.922,0
746,24.957,0
747,24.411,0
748,24.054,0
749,54.2325,1
750,132.045,0
751,123.7575,0
752,63.18,0
753,0.408,0
754,1.206,0
755,11.076,0
756,87.54,1
757,157.4625,0
758,158.5575,0
759,159.495,0
760,145.9425,0
761,148.035,0
762,54.63,0
763,21.387,0
764,23.424,0
765,23.424,0
766,23.277,0
767,21.345,0
768,21.093,0
769,22.647,0
770,23.424,0
771,23.508,0
772,12.504,0
773,49.4775,1
774,126.8025,0
775,100.755,0
776,5.847,0
777,10.719,0
778,10.95,0
779,10.425,0
780,11.265,0
781,23.802,0
782,24.201,0
783,24.306,0
784,24.138,0
785,68.2575,1
786,142.59,0
787,139.6425,0
788,137.535,0
789,74.6325,0
790,11.076,0
791,12.651,0
792,12.357,0
793,20.82,0
794,24.222,0
795,24.495,0
796,24.432,0
797,25.188,0
798,25.524,0
799,16.074,0
800,11.958,0
